B2000A, wave generation and sharping, leonard strauss, 2019, 0, 0
B20006, the GSM communication, michel mouly, 2018, 0, 0
B20004, reference data for radio engineers, Howard W. SAMS & CO. INC, 2016, 0, 0
B20009, electronics technician 3, navpers, 1954, 0, 0
B20007, основы измерений, К.Б. Клаассен, 1919, 0, 0
B20005, introductory circuit analysis, Robert L. Boylestad, 1953, 0, 0
B20008, introduction to the theory and design of active filters, L.P. HUELSMAN P.E. ALLEN, 1956, 0, 0
B20003, источники питания, Ирвинг М. Готтлиб, 1948, 0, 0
B20001, introduction to electromagnetic fields, clayton R. paul, 1973, 0, 0
B20002, introduction to electromagnetic fields 1982, clayton R. paul second, 1982, 0, 0
B20010, microelectronics second edition, jacob millman arvin grable, 1988, 0, 0
B20020, communication systems, A. bruce carlson, 1981, 0, 0
B20030, electromagnetic transmission and radiation, adler chu, 1960, 0, 0
B20040, standard mathematical tables, william H. beyer, 1981, 0, 0
B20050, circuits devices and systems, ralph j. smith, 1983, 0,0
B20060, statistics toolbox, bradley jones, 1996, 0, 0
B20070, introduction to electronics, robert j. hughes and peter pipe, 1961, 0, 0
B20080, logic design hebrew, open university, 1990, 0, 0
B20090, fundamentals of pulse and digital circuits, ronald j. tocci, 1981, 0, 0
B200A0, data transmission, inter university, 1965, 0, 0
B200B0, notes on analog communication, d.j. sakrison, 1970, 0, 0
B200C0, communications blockset, math works, 2000, 0, 0
B200D0, notes on digital communication, george L. turin, 1969, 0, 0
B200E0, electrical fundamentals direct current, army, 1951, 0, 0
B200F0, electrical fundamentals alternating current, army, 1951, 0, 0
B20100, basic theory and application of transistors, army, 1959, 0, 0
B20200, logic design hebrew second, open university, 1990, 0, 0






